drug1	drug2	Label
DB00865	DB06723	2
DB00684	DB00963	2
DB00684	DB00210	2
DB00479	DB09218	2
DB00684	DB03585	2
DB01082	DB08797	2
DB01577	DB09281	2
DB12615	DB01097	2
DB01577	DB13209	2
DB00479	DB09212	2
DB06696	DB01009	2
DB00191	DB00819	2
DB01421	DB01024	2
DB01421	DB13783	2
DB09352	DB01390	2
DB01082	DB12598	2
DB02659	DB01586	2
DB01082	DB00812	2
DB11348	DB00999	2
DB01421	DB00991	2
DB00182	DB09281	2
DB01172	DB08880	2
DB01365	DB06724	2
DB00798	DB00465	2
DB12615	DB00337	2
DB12615	DB00991	2
DB00798	DB00469	2
DB12615	DB13063	2
DB00798	DB00580	2
DB00479	DB08981	2
DB00798	DB00586	2
DB13800	DB00232	2
DB01172	DB00328	2
DB13142	DB00310	2
DB00452	DB00328	2
DB11126	DB00880	2
DB01576	DB13322	2
DB06696	DB01097	2
DB09352	DB01377	2
DB01082	DB03585	2
DB03615	DB06739	2
DB09352	DB01370	2
DB12615	DB04817	2
DB01172	DB00963	2
DB00798	DB01399	2
DB00798	DB00861	2
DB01365	DB13595	2
DB00479	DB07615	2
DB00684	DB13783	2
DB01172	DB08984	2
DB01082	DB00586	2
DB00684	DB08976	2
DB06696	DB00337	2
DB00684	DB01628	2
DB01421	DB00469	2
DB00852	DB06723	2
DB03615	DB00972	2
DB01172	DB13783	2
DB00452	DB00945	2
DB03615	DB00795	2
DB01421	DB00461	2
DB00798	DB01024	2
DB01172	DB00210	2
DB01421	DB00465	2
DB00452	DB00821	2
DB06696	DB03585	2
DB01172	DB01401	2
DB01082	DB00735	2
DB01082	DB00328	2
DB03615	DB06736	2
DB12615	DB00580	2
DB00479	DB06725	2
DB03615	DB00573	2
DB11093	DB00436	2
DB06696	DB00580	2
DB01421	DB00861	2
DB06696	DB00586	2
DB00798	DB00768	2
DB01421	DB13063	2
DB13800	DB00436	2
DB00479	DB00749	2
DB00182	DB01390	2
DB03615	DB04552	2
DB00182	DB09481	2
DB01255	DB01390	2
DB00908	DB01370	2
DB00452	DB01050	2
DB00182	DB13595	2
DB00479	DB00744	2
DB01172	DB13167	2
DB06696	DB00573	2
DB00955	DB08439	2
DB00955	DB08976	2
DB00955	DB09288	2
DB02659	DB00661	2
DB00955	DB01014	2
DB01421	DB04552	2
DB01082	DB00608	2
DB01421	DB09084	2
DB03615	DB13063	2
DB01421	DB06736	2
DB00798	DB00939	2
DB01577	DB06723	2
DB00326	DB00562	2
DB02659	DB06290	2
DB03615	DB00482	2
DB01082	DB00605	2
DB00529	DB01325	2
DB01082	DB01600	2
DB00908	DB01194	2
DB01577	DB01144	2
DB11126	DB01021	2
DB00955	DB00179	2
DB00908	DB13249	2
DB00182	DB13209	2
DB01082	DB00788	2
DB13800	DB00310	2
DB11093	DB00232	2
DB00479	DB00936	2
DB03615	DB01050	2
DB12615	DB00179	2
DB00452	DB00688	2
DB01356	DB00999	2
DB00479	DB00939	2
DB00326	DB00880	2
DB13800	DB00999	2
DB00798	DB00244	2
DB03615	DB00500	2
DB00684	DB01435	2
DB00479	DB01014	2
DB01356	DB01021	2
DB00955	DB08797	2
DB00955	DB02709	2
DB00908	DB09104	2
DB00479	DB00586	2
DB13800	DB01325	2
DB13800	DB01324	2
DB00852	DB13650	2
DB06696	DB08976	2
DB03615	DB00870	2
DB00479	DB01600	2
DB00955	DB00861	2
DB01255	DB13249	2
DB09352	DB13249	2
DB00937	DB01390	2
DB01577	DB09275	2
DB06696	DB07615	2
DB00684	DB08984	2
DB00684	DB09218	2
DB00937	DB13322	2
DB11348	DB00808	2
DB01421	DB06196	2
DB12615	DB00768	2
DB01082	DB00554	2
DB00479	DB00337	2
DB01576	DB09275	2
DB06696	DB08991	2
DB01172	DB04743	2
DB00955	DB00573	2
DB01172	DB01399	2
DB06696	DB02709	2
DB12615	DB00605	2
DB00452	DB08976	2
DB01577	DB00819	2
DB00955	DB04951	2
DB01576	DB06724	2
DB02659	DB00091	2
DB11093	DB00808	2
DB12615	DB00608	2
DB06724	DB00436	2
DB01576	DB09481	2
DB13231	DB00880	2
DB06696	DB00328	2
DB01421	DB00244	2
DB00955	DB00688	2
DB00955	DB01009	2
DB00684	DB13346	2
DB13800	DB01021	2
DB00479	DB03585	2
DB06696	DB00963	2
DB01172	DB00244	2
DB03615	DB00605	2
DB00452	DB09212	2
DB00798	DB01014	2
DB00191	DB09481	2
DB01421	DB09288	2
DB01082	DB06739	2
DB00452	DB09218	2
DB01082	DB06737	2
DB00452	DB13346	2
DB03615	DB00608	2
DB00452	DB08991	2
DB09352	DB08938	2
DB00852	DB13249	2
DB00852	DB09104	2
DB00908	DB01390	2
DB00452	DB00749	2
DB12615	DB00586	2
DB01082	DB01097	2
DB00908	DB13209	2
DB00300	DB00369	2
DB00955	DB00812	2
DB00865	DB09104	2
DB00684	DB06802	2
DB00955	DB00814	2
DB12615	DB00945	2
DB00452	DB00608	2
DB03615	DB00939	2
DB00684	DB00784	2
DB03615	DB06737	2
DB00865	DB13249	2
DB09352	DB06723	2
DB11126	DB00436	2
DB03615	DB00936	2
DB09352	DB06724	2
DB12615	DB00861	2
DB00798	DB00972	2
DB01172	DB11672	2
DB01164	DB00232	2
DB00452	DB00870	2
DB00798	DB04817	2
DB03615	DB13783	2
DB00865	DB00703	2
DB00955	DB01250	2
DB01421	DB01014	2
DB00908	DB03754	2
DB01421	DB08976	2
DB01082	DB04743	2
DB00452	DB05676	2
DB12615	DB00461	2
DB00798	DB00337	2
DB12615	DB00465	2
DB11348	DB00774	2
DB12615	DB00469	2
DB00684	DB00870	2
DB00191	DB01144	2
DB01365	DB09481	2
DB01421	DB00945	2
DB13142	DB00880	2
DB01255	DB13209	2
DB00452	DB06725	2
DB03615	DB00735	2
DB00479	DB04743	2
DB06724	DB00880	2
DB01421	DB01401	2
DB12615	DB06736	2
DB12615	DB06737	2
DB01365	DB13249	2
DB01356	DB00310	2
DB01172	DB00768	2
DB00684	DB12598	2
DB01082	DB04552	2
DB00798	DB04552	2
DB00852	DB00703	2
DB00529	DB00774	2
DB11126	DB01324	2
DB11126	DB01325	2
DB01365	DB06723	2
DB01164	DB00774	2
DB01421	DB00554	2
DB12615	DB09216	2
DB00798	DB00936	2
DB01082	DB13063	2
DB12615	DB08976	2
DB00479	DB01397	2
DB00798	DB01401	2
DB00479	DB01399	2
DB03615	DB00945	2
DB12615	DB12598	2
DB01421	DB00337	2
DB12615	DB01024	2
DB06696	DB08439	2
DB00908	DB00869	2
DB03615	DB01397	2
DB01082	DB01250	2
DB03615	DB01399	2
DB00852	DB13595	2
DB06696	DB04817	2
DB01082	DB00179	2
DB00452	DB09216	2
DB01082	DB00936	2
DB03615	DB01014	2
DB00955	DB08991	2
DB00300	DB00787	2
DB00182	DB01370	2
DB00326	DB00524	2
DB00326	DB00232	2
DB01421	DB00939	2
DB00684	DB01014	2
DB01421	DB00936	2
DB01421	DB13167	2
DB01164	DB01021	2
DB12615	DB08439	2
DB12615	DB09288	2
DB01172	DB12598	2
DB06696	DB00795	2
DB00479	DB00735	2
DB13800	DB00774	2
DB01421	DB00768	2
DB13231	DB00774	2
DB01421	DB04951	2
DB00798	DB01397	2
DB00452	DB00812	2
DB09352	DB13209	2
DB00798	DB00688	2
DB00852	DB09275	2
DB00955	DB06736	2
DB01255	DB13595	2
DB09352	DB01144	2
DB12615	DB01283	2
DB03615	DB00337	2
DB09323	DB13783	2
DB00182	DB09104	2
DB00865	DB06724	2
DB00529	DB00214	2
DB06696	DB00939	2
DB00798	DB01250	2
DB00709	DB00440	2
DB00955	DB00533	2
DB01053	DB13783	2
DB01043	DB00819	2
DB00955	DB13063	2
DB01043	DB00703	2
DB06696	DB09216	2
DB00479	DB00963	2
DB00479	DB06737	2
DB00479	DB06736	2
DB00452	DB01024	2
DB00479	DB04552	2
DB06696	DB00244	2
DB00479	DB00608	2
DB03615	DB04743	2
DB00479	DB00605	2
DB01172	DB00586	2
DB01421	DB04817	2
DB00955	DB08981	2
DB12615	DB00482	2
DB01172	DB00580	2
DB00452	DB00482	2
DB00479	DB00465	2
DB00798	DB07615	2
DB00452	DB00768	2
DB06696	DB11672	2
DB00937	DB09481	2
DB00798	DB08880	2
DB01421	DB01628	2
DB00865	DB13650	2
DB01082	DB00580	2
DB11126	DB00774	2
DB00258	DB00310	2
DB00684	DB00795	2
DB06696	DB00936	2
DB09352	DB09281	2
DB01082	DB13346	2
DB00529	DB02925	2
DB01577	DB09481	2
DB01172	DB07615	2
DB13231	DB01021	2
DB01082	DB02709	2
DB00684	DB00554	2
DB00182	DB06723	2
DB00452	DB00469	2
DB01576	DB00703	2
DB00955	DB00744	2
DB12615	DB08880	2
DB00479	DB00244	2
DB00955	DB00749	2
DB12615	DB01600	2
DB02659	DB00559	2
DB00479	DB00482	2
DB06696	DB06196	2
DB12615	DB00735	2
DB00684	DB01024	2
DB01082	DB08880	2
DB02659	DB01026	2
DB00798	DB13783	2
DB01421	DB00500	2
DB11348	DB00562	2
DB00955	DB06802	2
DB00479	DB08984	2
DB01082	DB00963	2
DB01365	DB09275	2
DB00798	DB01628	2
DB03615	DB00244	2
DB06696	DB01014	2
DB01421	DB01050	2
DB03615	DB02709	2
DB06696	DB08797	2
DB01421	DB08880	2
DB06696	DB01401	2
DB03615	DB11672	2
DB00479	DB13783	2
DB00191	DB09281	2
DB06696	DB00744	2
DB01172	DB00337	2
DB00798	DB00573	2
DB06696	DB13346	2
DB01365	DB13209	2
DB00798	DB09216	2
DB11093	DB01325	2
DB11093	DB01324	2
DB06696	DB00749	2
DB01172	DB00465	2
DB00798	DB09212	2
DB01421	DB08991	2
DB01365	DB01144	2
DB00191	DB13209	2
DB01172	DB00972	2
DB00258	DB00774	2
DB00452	DB00210	2
DB01255	DB00703	2
DB00452	DB06196	2
DB00798	DB00870	2
DB01255	DB09281	2
DB03615	DB00461	2
DB06724	DB00562	2
DB01172	DB00870	2
DB00684	DB07615	2
DB00452	DB08797	2
DB00479	DB13346	2
DB12615	DB00573	2
DB00798	DB00945	2
DB00798	DB00500	2
DB00908	DB08938	2
DB00684	DB00712	2
DB01172	DB01628	2
DB00452	DB12598	2
DB12615	DB13783	2
DB00798	DB01050	2
DB01421	DB00573	2
DB03615	DB00861	2
DB01421	DB06802	2
DB00182	DB09275	2
DB00798	DB00712	2
DB00955	DB08984	2
DB00529	DB01021	2
DB01421	DB03585	2
DB03615	DB00580	2
DB01421	DB00870	2
DB00908	DB13650	2
DB11126	DB00310	2
DB01172	DB00533	2
DB12615	DB09084	2
DB03615	DB00749	2
DB00798	DB00482	2
DB00479	DB08880	2
DB00684	DB00179	2
DB03615	DB00465	2
DB00852	DB09281	2
DB13800	DB00524	2
DB03615	DB00469	2
DB01576	DB01370	2
DB01576	DB01377	2
DB03615	DB00744	2
DB01082	DB01009	2
DB12615	DB08984	2
DB01576	DB08938	2
DB02659	DB00675	2
DB01255	DB13650	2
DB13142	DB00436	2
DB00452	DB04743	2
DB00955	DB12598	2
DB00479	DB00179	2
DB01255	DB06723	2
DB00865	DB01377	2
DB00191	DB13249	2
DB00908	DB13322	2
DB00955	DB00210	2
DB00479	DB12598	2
DB01576	DB13595	2
DB00937	DB09104	2
DB03615	DB01600	2
DB00798	DB01283	2
DB12615	DB05676	2
DB06696	DB01283	2
DB00452	DB00735	2
DB00798	DB00812	2
DB06696	DB00870	2
DB03615	DB06196	2
DB00529	DB00310	2
DB12615	DB00688	2
DB01172	DB01250	2
DB03615	DB01435	2
DB01082	DB06736	2
DB00955	DB04817	2
DB06696	DB00972	2
DB01082	DB00795	2
DB00191	DB01377	2
DB03615	DB01024	2
DB06696	DB05676	2
DB01421	DB00712	2
DB01172	DB01097	2
DB03615	DB07615	2
DB00852	DB13322	2
DB01255	DB08938	2
DB06724	DB00232	2
DB01576	DB13650	2
DB00452	DB13783	2
DB00684	DB08880	2
DB00908	DB06724	2
DB00479	DB01009	2
DB13231	DB00310	2
DB00258	DB00436	2
DB01356	DB00524	2
DB00479	DB13063	2
DB12615	DB02709	2
DB00452	DB00605	2
DB00452	DB01600	2
DB00684	DB13063	2
DB00955	DB00784	2
DB00937	DB00703	2
DB01421	DB01399	2
DB00191	DB09104	2
DB09352	DB00819	2
DB00852	DB01390	2
DB12615	DB01250	2
DB01421	DB01397	2
DB00937	DB13249	2
DB01421	DB13346	2
DB00908	DB09281	2
DB00955	DB00788	2
DB00326	DB01021	2
DB00452	DB00788	2
DB00479	DB00328	2
DB01082	DB00244	2
DB00479	DB06739	2
DB00955	DB01097	2
DB11348	DB00524	2
DB01576	DB03754	2
DB00452	DB00784	2
DB00908	DB00703	2
DB00937	DB03754	2
DB01421	DB01097	2
DB00955	DB01399	2
DB01577	DB01370	2
DB01082	DB11672	2
DB00452	DB00533	2
DB03615	DB00784	2
DB00798	DB09218	2
DB06696	DB01050	2
DB00955	DB01397	2
DB01172	DB08797	2
DB11348	DB00880	2
DB01082	DB00784	2
DB01356	DB01324	2
DB01356	DB01325	2
DB00182	DB01377	2
DB00182	DB13249	2
DB01421	DB00784	2
DB00865	DB03754	2
DB01421	DB00788	2
DB00479	DB00795	2
DB00798	DB02709	2
DB00479	DB04951	2
DB01421	DB02709	2
DB01043	DB01194	2
DB01043	DB01144	2
DB00852	DB09481	2
DB06696	DB01628	2
DB01172	DB09218	2
DB01082	DB07615	2
DB00798	DB00605	2
DB01172	DB09216	2
DB00955	DB11672	2
DB00452	DB04951	2
DB01172	DB09212	2
DB00798	DB01009	2
DB01082	DB06196	2
DB00326	DB01324	2
DB00326	DB01325	2
DB01172	DB00936	2
DB00258	DB01324	2
DB00937	DB01144	2
DB01172	DB01600	2
DB00452	DB00554	2
DB00937	DB00819	2
DB01172	DB00939	2
DB00955	DB00712	2
DB06724	DB00524	2
DB00684	DB00580	2
DB00865	DB09275	2
DB01577	DB13650	2
DB03615	DB13346	2
DB09352	DB09481	2
DB00452	DB00991	2
DB00684	DB00586	2
DB02659	DB01051	2
DB12615	DB00812	2
DB11348	DB00232	2
DB01082	DB01401	2
DB01255	DB09104	2
DB12615	DB00939	2
DB12615	DB04552	2
DB03615	DB00821	2
DB00191	DB06724	2
DB00852	DB01144	2
DB01421	DB01009	2
DB00479	DB01283	2
DB00191	DB06723	2
DB03615	DB08880	2
DB13800	DB00808	2
DB00798	DB09288	2
DB01082	DB00939	2
DB01172	DB00573	2
DB00798	DB00963	2
DB11093	DB00562	2
DB00684	DB02709	2
DB00452	DB06736	2
DB00452	DB06737	2
DB00798	DB06725	2
DB06696	DB00712	2
DB00258	DB01325	2
DB01255	DB06724	2
DB01421	DB01435	2
DB01255	DB03754	2
DB13800	DB00562	2
DB00955	DB01435	2
DB01255	DB13322	2
DB01365	DB08938	2
DB00684	DB00749	2
DB00955	DB00936	2
DB00955	DB01628	2
DB00908	DB01377	2
DB00479	DB01401	2
DB03615	DB09212	2
DB13783	DB01138	2
DB00452	DB13167	2
DB00684	DB01600	2
DB00955	DB00939	2
DB01164	DB00880	2
DB13142	DB00808	2
DB00182	DB13650	2
DB00955	DB09216	2
DB00326	DB00436	2
DB00452	DB01435	2
DB00191	DB13650	2
DB00798	DB00533	2
DB00852	DB06724	2
DB00684	DB01401	2
DB01421	DB08797	2
DB01421	DB00328	2
DB01421	DB08439	2
DB01577	DB13322	2
DB00798	DB00749	2
DB03615	DB04951	2
DB00798	DB00744	2
DB00798	DB00210	2
DB00684	DB00936	2
DB00452	DB06802	2
DB01172	DB01050	2
DB00955	DB06739	2
DB03615	DB00554	2
DB01172	DB00500	2
DB00182	DB03754	2
DB01255	DB01377	2
DB00684	DB06196	2
DB12615	DB04743	2
DB00479	DB00688	2
DB01421	DB11672	2
DB00452	DB04552	2
DB00479	DB00210	2
DB01356	DB00562	2
DB00479	DB05676	2
DB00529	DB00903	2
DB00955	DB05676	2
DB01421	DB00210	2
DB01082	DB00744	2
DB00182	DB06724	2
DB00798	DB06802	2
DB03615	DB01097	2
DB00798	DB00328	2
DB00684	DB01050	2
DB00452	DB00795	2
DB00955	DB00244	2
DB00852	DB00819	2
DB00955	DB00328	2
DB00955	DB01050	2
DB06696	DB00945	2
DB00684	DB09212	2
DB01577	DB13249	2
DB03615	DB00768	2
DB00955	DB00500	2
DB00529	DB00887	2
DB00684	DB00945	2
DB01421	DB00580	2
DB02659	DB02703	2
DB01172	DB00608	2
DB06696	DB08880	2
DB00417	DB13783	2
DB01082	DB08981	2
DB01172	DB00605	2
DB00479	DB09288	2
DB12615	DB00814	2
DB06696	DB09084	2
DB01421	DB05676	2
DB00684	DB09216	2
DB01421	DB00744	2
DB01421	DB00533	2
DB13231	DB00999	2
DB12615	DB00533	2
DB06696	DB06725	2
DB01172	DB01014	2
DB00191	DB01370	2
DB00798	DB08981	2
DB00908	DB06723	2
DB03615	DB00328	2
DB00798	DB06737	2
DB01421	DB00749	2
DB00452	DB00461	2
DB00479	DB08797	2
DB00955	DB00461	2
DB00479	DB01628	2
DB01172	DB08991	2
DB00908	DB09481	2
DB01576	DB01390	2
DB00479	DB00554	2
DB01365	DB00703	2
DB00865	DB09481	2
DB00479	DB06802	2
DB00955	DB09084	2
DB00479	DB08991	2
DB00684	DB00469	2
DB00479	DB04817	2
DB00452	DB08880	2
DB00852	DB01377	2
DB00684	DB00461	2
DB01082	DB08984	2
DB00684	DB00465	2
DB01082	DB04951	2
DB06724	DB00808	2
DB12615	DB00821	2
DB00798	DB13063	2
DB00485	DB13783	2
DB00191	DB00703	2
DB02659	DB01016	2
DB06724	DB01021	2
DB00452	DB00580	2
DB00684	DB00337	2
DB00684	DB01397	2
DB00182	DB01144	2
DB06696	DB01024	2
DB00479	DB00469	2
DB12615	DB00744	2
DB01082	DB00972	2
DB12615	DB00749	2
DB00479	DB00461	2
DB03615	DB08439	2
DB00684	DB01399	2
DB01082	DB01283	2
DB01082	DB00870	2
DB01577	DB08938	2
DB00479	DB00500	2
DB01172	DB09288	2
DB12615	DB06802	2
DB00452	DB00586	2
DB00529	DB00695	2
DB00684	DB04817	2
DB03615	DB00210	2
DB00684	DB00744	2
DB12615	DB00210	2
DB01172	DB03585	2
DB00798	DB06736	2
DB00865	DB08938	2
DB03615	DB12598	2
DB01172	DB00735	2
DB00684	DB04951	2
DB11348	DB00310	2
DB06724	DB00774	2
DB01421	DB08981	2
DB06696	DB09212	2
DB13142	DB00232	2
DB00955	DB00972	2
DB00479	DB00768	2
DB06696	DB01435	2
DB12615	DB08981	2
DB00955	DB00870	2
DB01082	DB13167	2
DB00798	DB01600	2
DB01172	DB00861	2
DB00684	DB08991	2
DB01421	DB08984	2
DB12615	DB00963	2
DB01365	DB13650	2
DB01421	DB04743	2
DB01576	DB00819	2
DB00452	DB08439	2
DB00452	DB00963	2
DB00798	DB06739	2
DB00684	DB04552	2
DB09352	DB09104	2
DB00258	DB01021	2
DB00479	DB01097	2
DB03615	DB00179	2
DB00684	DB00939	2
DB01172	DB13063	2
DB00684	DB05676	2
DB00955	DB06196	2
DB00479	DB00814	2
DB06724	DB01324	2
DB06724	DB01325	2
DB00955	DB08880	2
DB02659	DB00845	2
DB00955	DB06725	2
DB00955	DB00991	2
DB01082	DB06802	2
DB00452	DB00465	2
DB00713	DB13783	2
DB01421	DB00963	2
DB00479	DB11672	2
DB01172	DB00788	2
DB01255	DB01370	2
DB01421	DB07615	2
DB01172	DB00784	2
DB09352	DB00703	2
DB00326	DB00999	2
DB00955	DB01401	2
DB01082	DB00991	2
DB00798	DB11672	2
DB00798	DB09084	2
DB01082	DB01014	2
DB00182	DB00703	2
DB00798	DB12598	2
DB00684	DB00605	2
DB00908	DB13595	2
DB06696	DB00688	2
DB00684	DB01283	2
DB00684	DB00608	2
DB00798	DB00795	2
DB01421	DB09216	2
DB00798	DB00814	2
DB01172	DB00991	2
DB03615	DB03585	2
DB00865	DB00819	2
DB01365	DB01370	2
DB00798	DB06196	2
DB11126	DB00524	2
DB00955	DB13346	2
DB11093	DB00524	2
DB01082	DB00469	2
DB06696	DB00861	2
DB12615	DB01009	2
DB01577	DB00703	2
DB01043	DB00869	2
DB00479	DB08976	2
DB03615	DB01401	2
DB00955	DB04743	2
DB03615	DB08797	2
DB00865	DB01144	2
DB00452	DB00337	2
DB01172	DB04552	2
DB00955	DB13167	2
DB01164	DB00436	2
DB01576	DB06723	2
DB01421	DB00814	2
DB06696	DB00533	2
DB00258	DB00999	2
DB01421	DB00812	2
DB00452	DB01009	2
DB00191	DB13322	2
DB00479	DB00712	2
DB00182	DB08938	2
DB01082	DB01628	2
DB11093	DB00310	2
DB01172	DB06196	2
DB01082	DB00461	2
DB00798	DB08991	2
DB01356	DB00436	2
DB00684	DB04743	2
DB00798	DB04743	2
DB00908	DB00819	2
DB00182	DB00819	2
DB01082	DB00712	2
DB09320	DB13783	2
DB00798	DB13346	2
DB00852	DB03754	2
DB00955	DB00795	2
DB01421	DB00795	2
DB03615	DB13167	2
DB00684	DB00500	2
DB02659	DB00501	2
DB01421	DB00586	2
DB00479	DB01250	2
DB06696	DB09218	2
DB01172	DB00945	2
DB01365	DB01377	2
DB00955	DB00554	2
DB12615	DB00784	2
DB01082	DB00573	2
DB01255	DB01144	2
DB00798	DB13167	2
DB00479	DB00861	2
DB01082	DB01399	2
DB00684	DB00735	2
DB13800	DB00880	2
DB12615	DB00788	2
DB00684	DB09288	2
DB00191	DB01390	2
DB01421	DB06737	2
DB11348	DB00436	2
DB01155	DB01032	2
DB06696	DB13063	2
DB01421	DB06739	2
DB00479	DB09216	2
DB09352	DB09275	2
DB02659	DB08901	2
DB13231	DB00562	2
DB12615	DB01399	2
DB06696	DB09288	2
DB00479	DB00788	2
DB01421	DB12598	2
DB00937	DB09281	2
DB00479	DB00784	2
DB11093	DB01021	2
